#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2020-08-03 23:06:39.166
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X

Time (s)	Channel 1 (V)	Channel 2 (V)
-0.0051200000000000004	0.001068115234375	1.75140380859375
-0.00511875	0.0154876708984375	1.750030517578125
-0.0051174999999999997	0.032043457031256904	1.7501831054687502
-0.0051162500000000001	0.0472259521484375	1.750640869140625
-0.0051149999999999998	0.06317138671875	1.750030517578125
-0.0051137500000000002	0.0792694091796875	1.7511749267578125
-0.0051124999999999999	0.0949859619140625	1.751556396484375
-0.0051112500000000003	0.11077880859374281	1.7499542236328132
-0.00511	0.1258087158203125	1.7504119873046875
-0.0051087499999999996	0.14266967773438183	1.7508697509765621
-0.0051075000000000001	0.1576995849609375	1.750030517578125
-0.0051062499999999997	0.17158508300781997	1.7501068115234379
-0.0051050000000000002	0.18798828125	1.7508697509765625
-0.0051037499999999998	0.204925537109375	1.7510986328125
-0.0051025000000000003	0.21942138671875	1.7501068115234375
-0.0051012499999999999	0.2359771728515625	1.750335693359375
-0.0051000000000000004	0.24948120117186887	1.7504119873046875
-0.00509875	0.2663421630859375	1.750946044921875
-0.0050974999999999996	0.28282165527344416	1.7499542236328127
-0.0050962500000000001	0.2974700927734375	1.750640869140625
-0.0050949999999999997	0.31318664550781966	1.7509460449218752
-0.0050937500000000002	0.3289031982421875	1.7513275146484375
-0.0050924999999999998	0.3435516357421875	1.750030517578125
-0.0050912500000000003	0.35858154296874317	1.7501068115234375
-0.0050899999999999999	0.3743743896484375	1.750335693359375
-0.0050887500000000004	0.39047241210936767	1.7506408691406248
-0.0050875	0.4070281982421875	1.75048828125
-0.0050862499999999996	0.42091369628906911	1.7498779296875
-0.0050850000000000001	0.4354095458984375	1.750030517578125
-0.0050837499999999997	0.450439453125	1.7513275146484375
-0.0050825000000000002	0.4666900634765625	1.7510986328125
-0.0050812499999999998	0.4827880859375	1.7514801025390625
-0.0050800000000000003	0.49690246582030606	1.7514801025390625
-0.0050787499999999999	0.5126953125	1.75140380859375
-0.0050775000000000004	0.52810668945311801	1.7505645751953129
-0.00507625	0.5426788330078125	1.7499542236328125
-0.0050749999999999997	0.55755615234375644	1.7509460449218748
-0.0050737500000000001	0.5718231201171875	1.7505645751953125
-0.0050724999999999998	0.588226318359375	1.7501068115234375
-0.0050712500000000002	0.60272216796875	1.751556396484375
-0.0050699999999999999	0.6189727783203125	1.751556396484375
-0.0050687500000000003	0.63354492187499334	1.7502593994140632
-0.0050675	0.64788818359375	1.750030517578125
-0.0050662499999999996	0.66314697265625666	1.7507934570312502
-0.0050650000000000001	0.67779541015625	1.7514801025390625
-0.0050637499999999997	0.69183349609375722	1.7503356933593754
-0.0050625000000000002	0.70770263671875	1.7513275146484375
-0.0050612499999999998	0.722503662109375	1.750335693359375
-0.0050600000000000003	0.736541748046875	1.75140380859375
-0.0050587499999999999	0.7501220703125	1.7514801025390625
-0.0050575000000000004	0.76568603515624289	1.7510986328125002
-0.00505625	0.7801055908203125	1.7507171630859375
-0.0050549999999999996	0.79467773437500611	1.7511749267578125
-0.0050537500000000001	0.8081817626953125	1.751251220703125
-0.0050524999999999997	0.82237243652344505	1.7509460449218746
-0.0050512500000000002	0.83892822265625	1.7498779296875
-0.0050499999999999998	0.8518218994140625	1.7502593994140625
-0.0050487500000000003	0.86540222167968128	1.7515563964843743
-0.0050474999999999999	0.8792877197265625	1.7499542236328125
-0.0050462500000000004	0.89492797851561789	1.7503356933593748
-0.005045	0.9084320068359375	1.751251220703125
-0.0050437499999999996	0.92185974121094361	1.7511749267578121
-0.0050425000000000001	0.935211181640625	1.7502593994140625
-0.0050412499999999997	0.951080322265625	1.7511749267578125
-0.0050400000000000002	0.963287353515625	1.750946044921875
-0.0050387499999999998	0.9777069091796875	1.7510223388671875
-0.0050375000000000003	0.98983764648436945	1.7513275146484373
-0.0050362499999999999	1.0053253173828125	1.750335693359375
-0.0050350000000000004	1.0190582275390563	1.7499542236328127
-0.00503375	1.0312652587890625	1.7514801025390625
-0.0050324999999999996	1.0450744628906317	1.7502593994140623
-0.0050312500000000001	1.0595703125	1.7499542236328125
-0.0050299999999999997	1.071624755859375	1.75018310546875
-0.0050287500000000002	1.085662841796875	1.7504119873046875
-0.0050274999999999999	1.0973358154296875	1.7508697509765625
-0.0050262500000000003	1.1126708984374931	1.7500305175781254
-0.005025	1.124114990234375	1.7508697509765625
